"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员手机号查询","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询不存在的手机号","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员姓查询过期的会员","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","缺少sessionId","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","正常获取会员信息","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询不存在的手机号","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","过期的sessionId","测试 members 请求正常的用例"
"passed","Sun Jun 07 16:28:32 CST 2020","Sun Jun 07 16:28:32 CST 2020","480","testcases","test_session","TestSession","","","成功删除sessionId","测试 deleteSession 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员姓查询","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_auth","TestAuth","","","缺少AKey","测试 Auth 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过不相关的会员姓和名组合查询","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询不存在的会员姓","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询错误的手机号","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","错误的sessionId","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询不存在的邮箱地址","测试 members 请求正常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","查询错误的邮箱地址","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","错误的Akey","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","缺少companyName","测试 members 请求异常的用例"
"skipped","Sun Jun 07 16:28:29 CST 2020","Sun Jun 07 16:28:29 CST 2020","0","testcases","test_members","TestMembers","","","通过会员卡号查询过期的会员","测试 members 请求正常的用例"
